Гагара белоклювая 	Gavia adamsii 	White-billed Diver
Гагара чернозобая 	Gavia arctica 	Black-throated Diver
Гагара черноклювая 	Gavia immer 	Great Northern Diver
Гагара белошейная 	Gavia pacifica 	Pacific Diver
Гагара краснозобая 	Gavia stellata 	Red-throated Diver
Поганка красношейная 	Podiceps auritus 	Slavonian Grebe
Поганка большая 	Podiceps cristatus 	Great Crested Grebe
Поганка серощекая 	Podiceps grisegena 	Red-necked Grebe
Поганка черношейная 	Podiceps nigricollis, Podiceps caspicus 	Black-necked Grebe
Поганка малая 	Podiceps ruficollis, Tachybaptus ruficollis 	Little Grebe
Качурка прямохвостая 	Hydrobates pelagicus 	Storm-Petrel
Качурка сизая 	Oceanodroma furcata 	Grey Fork-tailed Petrel
Качурка северная 	Oceanodroma leucorhoa 	Leach's Petrel
Качурка малая 	Oceanodroma monorhis 	Swinhoe's Petrel
Глупыш 	Fulmarus glacialis 	Fulmar
Буревестник малый 	Puffinus puffinus, Puffinus yelkouan 	Manx Shearwater
Буревестник пестролицый 	Calonectris leucomelas 	Audubon’s Shearwater
Пеликан кудрявый 	Pelecanus crispus 	Dalmatian pelican
Пеликан розовый 	Pelecanus onocrotalus 	Great White Pelican
Баклан хохлатый 	Phalacrocorax aristotelis 	Shag
Баклан японский 	Phalacrocorax capillatus, Phalacrocorax filamentosus 	Temminck's Cormorant
Баклан большой 	Phalacrocorax carbo 	Cormorant
Баклан Берингов 	Phalacrocorax pelagicus 	Pelagic Cormorant
Баклан малый 	Phalacrocorax pygmaeus 	Pygmy Cormorant
Баклан краснолицый 	Phalacrocorax urile 	Red-faced Cormorant
Олуша северная 	Sula bassana, Morus bassanus 	Northern Gannet
Цапля серая 	Ardea cinerea 	Grey Heron
Цапля рыжая 	Ardea purpurea 	Purple Heron
Цапля желтая 	Ardeola ralloides 	Squacco Heron
Выпь большая 	Botaurus stellaris 	Bittern
Цапля египетская 	Bubulcus ibis 	Cattle Egret
Кваква зеленая 	Butorides striatus 	Striated Heron
Цапля большая белая 	Egretta alba, Casmerodius albus 	Great White Egret
Цапля малая белая 	Egretta garzetta 	Little Egret
Выпь амурская 	Ixobrychus eurhytmus 	Shrenk's Bittern
Выпь малая 	Ixobrychus minutus 	Little Bittern
Кваква 	Nycticorax nycticorax 	Night Heron
Аист дальневосточный 	Ciconia boyciana 	White Stork
Аист белый 	Ciconia ciconia 	Oriental White Stork
Аист черный 	Ciconia nigra 	Black Stork
Колпица 	Platalea leucorodia 	Spoonbill
Каравайка 	Plegadis falcinellus 	Glossy Ibis
Фламинго обыкновенный 	Phoenicopterus roseus, Phoenicopterus ruber 	Greater Flamingo
Мандаринка 	Aix galericulata 	Mandarin Duck
Гусь нильский 	Alopochen aegyptiacus 	Egyptian Goose
Шилохвость обыкновенная 	Anas acuta 	Northern Pintail
Чирок мраморный 	Anas angustirostris, Marmaronetta angustirostris 	Marbled Teal
Широконоска 	Anas clypeata 	Shoveler
Чирок-свистунок 	Anas crecca 	Teal
Косатка 	Anas falcata 	Falcated Duck
Клоктун 	Anas formosa 	Baikal Teal
